# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "2" "-p" "--countReadPairs" "-B" "-C" "-t" "exon" "-g" "gene_id" "-a" "annotation/Mus_musculus.GRCm39.116.gtf" "-o" "gene_counts_paired.txt" "alignment_bamfile/female_gwat_50tbt_1.sorted.bam" "alignment_bamfile/female_gwat_50tbt_2.sorted.bam" "alignment_bamfile/female_gwat_50tbt_3.sorted.bam" "alignment_bamfile/female_gwat_dmso_1.sorted.bam" "alignment_bamfile/female_gwat_dmso_2.sorted.bam" "alignment_bamfile/female_gwat_dmso_3.sorted.bam" 
Geneid	alignment_bamfile/female_gwat_50tbt_1.sorted.bam	alignment_bamfile/female_gwat_50tbt_2.sorted.bam	alignment_bamfile/female_gwat_50tbt_3.sorted.bam	alignment_bamfile/female_gwat_dmso_1.sorted.bam	alignment_bamfile/female_gwat_dmso_2.sorted.bam	alignment_bamfile/female_gwat_dmso_3.sorted.bam
ENSMUSG00000104478	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0
ENSMUSG00000101231	0	0	0	0	0	0
ENSMUSG00000101097	0	0	0	0	0	0
ENSMUSG00000100764	1	0	1	0	0	0
ENSMUSG00000100831	0	0	0	0	0	0
ENSMUSG00000100884	0	0	0	0	0	0
ENSMUSG00000100635	0	0	0	0	0	0
ENSMUSG00000100480	0	0	0	0	0	0
ENSMUSG00000089037	0	0	0	0	0	0
ENSMUSG00002076531	0	0	0	0	0	0
ENSMUSG00000100025	0	0	0	0	0	0
ENSMUSG00000100290	0	0	0	0	0	0
ENSMUSG00000100758	0	0	0	0	0	0
ENSMUSG00000099926	0	0	0	0	0	0
ENSMUSG00000118715	0	0	0	0	0	0
ENSMUSG00000104158	1	0	0	0	0	0
ENSMUSG00000103540	0	0	0	0	0	0
ENSMUSG00000102788	0	0	0	0	1	0
ENSMUSG00000102160	0	0	0	0	0	0
ENSMUSG00000101253	0	0	0	0	0	0
ENSMUSG00000101846	0	0	0	0	0	0
ENSMUSG00000090243	0	0	0	0	0	0
ENSMUSG00000100701	0	0	0	1	0	0
ENSMUSG00000100555	0	1	0	0	0	0
ENSMUSG00000101395	0	0	0	0	0	0
ENSMUSG00000102728	0	0	0	0	0	0
ENSMUSG00000088848	0	0	0	0	0	0
ENSMUSG00002075225	0	0	0	0	0	0
ENSMUSG00000101875	0	0	0	0	0	0
ENSMUSG00000099732	1	0	0	0	0	0
ENSMUSG00000101220	0	0	0	0	0	0
ENSMUSG00000100020	0	0	0	0	0	0
ENSMUSG00000088691	0	0	0	0	0	0
ENSMUSG00000099884	0	0	0	0	0	0
ENSMUSG00000100304	0	0	0	0	0	0
ENSMUSG00000101453	0	0	0	0	0	0
ENSMUSG00000102105	0	0	0	0	0	0
ENSMUSG00000099943	0	0	0	0	0	0
ENSMUSG00002075119	0	0	0	0	0	0
ENSMUSG00000101687	0	0	0	0	0	0
ENSMUSG00000078184	0	1	0	0	0	0
ENSMUSG00000104363	0	0	0	0	0	0
ENSMUSG00000103277	0	0	0	0	0	0
ENSMUSG00000104157	0	0	0	0	0	0
ENSMUSG00000102446	0	0	0	0	0	0
ENSMUSG00000104248	0	0	0	0	0	0
ENSMUSG00000103471	0	0	0	0	0	0
ENSMUSG00000087875	0	0	0	0	0	0
ENSMUSG00000070695	6	0	0	0	0	0
ENSMUSG00002076179	0	0	0	0	0	0
ENSMUSG00000102033	0	0	0	0	0	0
ENSMUSG00000094429	0	0	0	0	0	0
ENSMUSG00000065625	0	0	0	0	0	0
ENSMUSG00000103411	0	2	2	1	0	2
ENSMUSG00000061024	56	48	51	58	48	32
ENSMUSG00000102030	0	0	0	1	0	0
ENSMUSG00000081441	3	3	1	4	4	2
ENSMUSG00000099827	0	0	0	0	0	0
ENSMUSG00000103634	0	0	0	0	0	0
ENSMUSG00000104154	0	0	0	0	0	2
ENSMUSG00000065573	0	0	0	0	0	0
ENSMUSG00002076271	0	0	0	0	0	1
ENSMUSG00000103367	0	0	0	0	0	0
ENSMUSG00000103584	0	0	0	0	0	0
ENSMUSG00002076339	0	0	0	0	0	0
ENSMUSG00000102475	0	0	0	0	0	0
ENSMUSG00000102211	2	2	1	3	0	3
ENSMUSG00000090106	0	0	0	0	0	0
ENSMUSG00000103251	0	0	0	0	0	0
ENSMUSG00000091844	0	0	0	0	0	1
ENSMUSG00000098611	0	0	0	0	0	0
ENSMUSG00000100534	0	0	0	0	0	0
ENSMUSG00000102904	0	0	0	0	0	0
ENSMUSG00002076350	0	0	0	0	0	0
ENSMUSG00000104391	0	0	0	0	0	0
ENSMUSG00000102133	0	0	0	0	0	0
ENSMUSG00000102749	0	0	0	0	0	0
ENSMUSG00000103163	0	0	0	0	0	0
ENSMUSG00000103646	0	0	0	0	0	0
ENSMUSG00000102427	0	0	0	0	0	0
ENSMUSG00000103767	2	0	3	1	1	1
ENSMUSG00000101104	0	0	0	0	0	0
ENSMUSG00000084557	0	0	0	0	1	0
ENSMUSG00000100685	0	0	0	0	0	0
ENSMUSG00000102090	0	0	0	0	0	0
