##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR39441559_1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1201663
Total Bases	181.4 Mbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.05142207091339	37.0	37.0	37.0	25.0	37.0
2	35.282595037044494	37.0	37.0	37.0	37.0	37.0
3	35.553428040973216	37.0	37.0	37.0	37.0	37.0
4	35.32375466332907	37.0	37.0	37.0	37.0	37.0
5	35.75887915330671	37.0	37.0	37.0	37.0	37.0
6	35.99999916781993	37.0	37.0	37.0	37.0	37.0
7	35.923890475116565	37.0	37.0	37.0	37.0	37.0
8	35.96634913449112	37.0	37.0	37.0	37.0	37.0
9	35.81215781795728	37.0	37.0	37.0	37.0	37.0
10-14	35.92491688601546	37.0	37.0	37.0	37.0	37.0
15-19	35.92622806893446	37.0	37.0	37.0	37.0	37.0
20-24	35.88837519337784	37.0	37.0	37.0	37.0	37.0
25-29	35.785888722545344	37.0	37.0	37.0	37.0	37.0
30-34	35.737084690133585	37.0	37.0	37.0	37.0	37.0
35-39	35.71523130861148	37.0	37.0	37.0	37.0	37.0
40-44	35.691820085997485	37.0	37.0	37.0	37.0	37.0
45-49	35.67237802944753	37.0	37.0	37.0	37.0	37.0
50-54	35.63579755721862	37.0	37.0	37.0	37.0	37.0
55-59	35.61292592016231	37.0	37.0	37.0	37.0	37.0
60-64	35.58445537559199	37.0	37.0	37.0	37.0	37.0
65-69	35.558767141869225	37.0	37.0	37.0	37.0	37.0
70-74	35.542605872029014	37.0	37.0	37.0	37.0	37.0
75-79	35.516240576600936	37.0	37.0	37.0	37.0	37.0
80-84	35.48782495591526	37.0	37.0	37.0	37.0	37.0
85-89	35.44467608639028	37.0	37.0	37.0	37.0	37.0
90-94	35.406062764685274	37.0	37.0	37.0	37.0	37.0
95-99	35.376637043830094	37.0	37.0	37.0	37.0	37.0
100-104	35.33246143053419	37.0	37.0	37.0	37.0	37.0
105-109	35.328225134667534	37.0	37.0	37.0	37.0	37.0
110-114	35.30696875912797	37.0	37.0	37.0	37.0	37.0
115-119	35.25711734487955	37.0	37.0	37.0	29.8	37.0
120-124	35.209296782875064	37.0	37.0	37.0	25.0	37.0
125-129	35.171628651294085	37.0	37.0	37.0	25.0	37.0
130-134	35.188078354746715	37.0	37.0	37.0	25.0	37.0
135-139	35.10526861524404	37.0	37.0	37.0	25.0	37.0
140-144	35.060683402917455	37.0	37.0	37.0	25.0	37.0
145-149	35.018304799265685	37.0	37.0	37.0	25.0	37.0
150-151	34.902357399703575	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
2101	1	-0.2711108402466138
2101	2	-0.26791631762367274
2101	3	-0.26245477680320306
2101	4	-0.1470993282472648
2101	5	-0.04087608257813713
2101	6	-0.16623401368660495
2101	7	-0.11493920114340028
2101	8	-0.08849096618968844
2101	9	-0.19518340062708006
2101	10-14	-0.10161711647915439
2101	15-19	-0.06954909090044481
2101	20-24	-0.018922189269531486
2101	25-29	-0.0722096783585755
2101	30-34	-0.01802351015018644
2101	35-39	-0.08478749008600062
2101	40-44	-0.05365297649509415
2101	45-49	-0.13725893752652496
2101	50-54	-0.06666387240935023
2101	55-59	-0.10634034118277924
2101	60-64	-0.06884058000281357
2101	65-69	-0.12677668910701811
2101	70-74	-0.07499534156502818
2101	75-79	-0.18867554712201695
2101	80-84	-0.08478928224455018
2101	85-89	-0.15367659556392255
2101	90-94	-0.18976463306644575
2101	95-99	-0.20464316435183605
2101	100-104	-0.14403361375543255
2101	105-109	-0.19218666712214372
2101	110-114	-0.15817305419128758
2101	115-119	-0.1591150604369247
2101	120-124	-0.1769340062348732
2101	125-129	-0.2135081646635868
2101	130-134	-0.19429710569948355
2101	135-139	-0.2177445425548541
2101	140-144	-0.25106523438803663
2101	145-149	-0.2498836401249136
2101	150-151	-0.31045321160883077
2102	1	-0.3122385046533793
2102	2	-0.18722095724835697
2102	3	-0.22690910367483497
2102	4	-0.3859990284378654
2102	5	0.040961080119032545
2102	6	-0.14327025659090253
2102	7	-0.007704357809863893
2102	8	0.015132426813281086
2102	9	-0.21659357481751584
2102	10-14	-0.03026392885563922
2102	15-19	-0.07198774318712253
2102	20-24	-0.12285450400106157
2102	25-29	-0.08721782077598306
2102	30-34	-0.15733409349795835
2102	35-39	-0.02304670406486764
2102	40-44	-0.08993957854246304
2102	45-49	-0.09597729548501377
2102	50-54	-0.13541217679148332
2102	55-59	-0.006196338785962041
2102	60-64	-0.08783067172667813
2102	65-69	-0.14763715520259524
2102	70-74	-0.13338434408954924
2102	75-79	-0.1694035254899049
2102	80-84	-0.12892045972991895
2102	85-89	-0.14087349847689978
2102	90-94	-0.20113364300509318
2102	95-99	-0.24138172406554048
2102	100-104	-0.16205931742389623
2102	105-109	-0.18523292530338864
2102	110-114	-0.24690365856645258
2102	115-119	-0.25320302339670064
2102	120-124	-0.30216410977715213
2102	125-129	-0.25983641419227155
2102	130-134	-0.2757778521096128
2102	135-139	-0.34248437523317676
2102	140-144	-0.27514601103450786
2102	145-149	-0.29929392752912776
2102	150-151	-0.34631376054376517
2103	1	-0.13597298991889062
2103	2	-0.4715505253265988
2103	3	-0.03378707526027824
2103	4	-0.21963337094405944
2103	5	-0.06772875545250656
2103	6	-0.06261916142799606
2103	7	-0.20933209571712297
2103	8	-0.11344513761764574
2103	9	-0.5241483769699968
2103	10-14	-0.10855606265860729
2103	15-19	-0.1511809681923637
