"SYMBOL","ENTREZID","STRING_id","baseMean","log2FoldChange","pvalue","padj","degree","betweenness","closeness","hub_score","Direction"
"Cdkn1a","12575","10090.ENSMUSP00000156559",351.456614383136,-1.530188548754,4.33475820058382e-06,0.00475247126354917,16,0.204744487671317,0.494117647058824,0.69959346108164,"Downregulated"
"Anpep","16790","10090.ENSMUSP00000103015",146.266379306478,1.01219084184606,1.83384574644955e-05,0.017012445924755,7,0.253755323267518,0.446808510638298,0.603998469378757,"Upregulated"
"Ncoa1","17977","10090.ENSMUSP00000082971",156.59352059761,-1.15420055646293,4.30432382934989e-05,0.0309960629765511,5,0.0496515679442509,0.358974358974359,0.317447384541975,"Downregulated"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
