"SYMBOL","ENTREZID","STRING_id","baseMean","log2FoldChange","pvalue","padj","degree","betweenness","closeness","hub_score","Direction"
"Cdkn1a","12575","10090.ENSMUSP00000156559",351.456614383136,-1.530188548754,4.33475820058382e-06,0.00475247126354917,16,0.204744487671317,0.494117647058824,0.69959346108164,"Downregulated"
"Anpep","16790","10090.ENSMUSP00000103015",146.266379306478,1.01219084184606,1.83384574644955e-05,0.017012445924755,7,0.253755323267518,0.446808510638298,0.603998469378757,"Upregulated"
"Ncoa1","17977","10090.ENSMUSP00000082971",156.59352059761,-1.15420055646293,4.30432382934989e-05,0.0309960629765511,5,0.0496515679442509,0.358974358974359,0.317447384541975,"Downregulated"
"Pdk4","27273","10090.ENSMUSP00000019721",1614.59143421045,-2.07836505303307,3.9362306705623e-06,0.00474709418869813,6,0.00116144018583043,0.411764705882353,0.309959351652655,"Downregulated"
"Ank3","11735","10090.ENSMUSP00000138326",31.2553004266069,2.91420620992522,9.09314414719489e-05,0.0452618268061743,6,0.00139372822299652,0.39622641509434,0.301567204225139,"Upregulated"
"Tead1","21676","10090.ENSMUSP00000060671",654.22159320318,-1.71264023529127,1.34724232059056e-06,0.00241442387405307,2,0,0.35,0.221111111111111,"Downregulated"
"Ccl21a","18829","10090.ENSMUSP00000092732",85.1818331496813,2.67106802839288,4.44811370409664e-12,5.36442512714054e-08,2,0,0.336,0.213333333333333,"Upregulated"
"Prg4","96875","10090.ENSMUSP00000128943",100.44672811713,-1.61023507686236,1.18931788505882e-06,0.00241442387405307,2,0,0.318181818181818,0.203434343434343,"Downregulated"
"Cyp2d22","56448","10090.ENSMUSP00000023083",347.689130546067,-1.11976256199774,1.40140689207061e-06,0.00241442387405307,2,0.0476190476190476,0.213197969543147,0.194358433518111,"Downregulated"
"Cyp2f2","13107","10090.ENSMUSP00000003100",106.279305292882,1.28379952361811,4.88329350376842e-05,0.0309960629765511,2,0,0.212121212121212,0.144511784511785,"Upregulated"
"Dennd4a","102442","10090.ENSMUSP00000037915",81.860169028225,-1.12491364124138,7.97757724852655e-05,0.0437316280078319,NA,NA,NA,NA,"Downregulated"
"Mt1","17748","10090.ENSMUSP00000034215",1141.68995554948,-2.10619206446431,5.90946754555601e-08,0.000237560595331351,NA,NA,NA,NA,"Downregulated"
"Mt2","17750","10090.ENSMUSP00000034214",119.571327046674,-3.0663471157237,3.30339429772313e-06,0.00443295797547047,NA,NA,NA,NA,"Downregulated"
"Tead4","21679","10090.ENSMUSP00000006311",46.3696512278397,-1.77285058896081,6.6850736319211e-05,0.038391422857604,NA,NA,NA,NA,"Downregulated"
"Niban2","227737","10090.ENSMUSP00000028135",523.3530827363,-1.15586216538851,4.79546216754602e-05,0.0309960629765511,NA,NA,NA,NA,"Downregulated"
"Dctn3","53598","10090.ENSMUSP00000030158",213.068450234648,-1.09245176928342,1.72819034477923e-05,0.017012445924755,NA,NA,NA,NA,"Downregulated"
"Mtarc1","66112","10090.ENSMUSP00000035804",140.383810667341,-1.87567618327152,9.53867065185106e-05,0.0452618268061743,NA,NA,NA,NA,"Downregulated"
"Maff","17133","10090.ENSMUSP00000094076",54.7146180510801,-1.27013756266742,9.98195674641834e-05,0.0452618268061743,NA,NA,NA,NA,"Downregulated"
"Slc39a8","67547","10090.ENSMUSP00000128245",326.029994407979,-1.64271845932337,1.04258052307149e-10,6.28676055412108e-07,NA,NA,NA,NA,"Downregulated"
"Rnf125","67664","10090.ENSMUSP00000058251",817.404273792124,-1.69899994960327,8.5406037317425e-05,0.0447824700020933,NA,NA,NA,NA,"Downregulated"
