"category","description","number_of_genes","p_value","fdr","preferredNames"
"RCTM","Phase I - Functionalization of compounds",4,2.47e-06,0.0042,"Cyp2f2,Cyp2d22,Marc1,Ncoa1"
"Keyword","Metal-thiolate cluster",2,1.19e-05,0.0064,"Mt2,Mt1"
"RCTM","Metallothioneins bind metals",2,7.94e-06,0.0067,"Mt2,Mt1"
"RCTM","RUNX3 regulates YAP1-mediated transcription",2,2.22e-05,0.0093,"Tead4,Tead1"
"SMART","TEA domain",2,1.19e-05,0.0096,"Tead4,Tead1"
"RCTM","YAP1- and WWTR1 (TAZ)-stimulated gene expression",2,3.56e-05,0.0111,"Tead4,Tead1"
"RCTM","Cytochrome P450 - arranged by substrate type",3,3.3e-05,0.0111,"Cyp2f2,Cyp2d22,Ncoa1"
"RCTM","CYP2E1 reactions",2,5.22e-05,0.0111,"Cyp2f2,Cyp2d22"
"RCTM","Cellular responses to stimuli",5,4.62e-05,0.0111,"Dctn3,Mt2,Mt1,Ncoa1,Cdkn1a"
"RCTM","Fatty acids",2,8.29e-05,0.0139,"Cyp2f2,Cyp2d22"
"Pfam","Metallothionein",2,1.19e-05,0.0269,"Mt2,Mt1"
"Process","Cellular zinc ion homeostasis",3,2.36e-06,0.0374,"Mt2,Mt1,Slc39a8"
"NetworkNeighborAL","Zinc ion transport, and Copper transport",3,8.47e-06,0.0416,"Mt2,Mt1,Slc39a8"
"NetworkNeighborAL","YAP1- and WWTR1 (TAZ)-stimulated gene expression",2,1.67e-05,0.0416,"Tead4,Tead1"
"PMID","(2009) Cadmium-induced testicular injury.",4,2.62e-08,0.0453,"Mt2,Mt1,Ccl21a,Slc39a8"
"Process","Cellular response to chemical stimulus",11,9.41e-06,0.0497,"Cyp2f2,Pdk4,Cyp2d22,Mt2,Mt1,Marc1,Rnf125,Tead1,Ncoa1,Ccl21a,Ank3"
