"to","from","combined_score","from_gene","to_gene"
"10090.ENSMUSP00000000193","10090.ENSMUSP00000000080",580,"Klf6","Ccl2"
"10090.ENSMUSP00000000299","10090.ENSMUSP00000000193",697,"Ccl2","Itgb2"
"10090.ENSMUSP00000000312","10090.ENSMUSP00000000193",529,"Ccl2","Cdh1"
"10090.ENSMUSP00000000312","10090.ENSMUSP00000000188",455,"Ccnd2","Cdh1"
"10090.ENSMUSP00000000312","10090.ENSMUSP00000000299",543,"Itgb2","Cdh1"
"10090.ENSMUSP00000000342","10090.ENSMUSP00000000193",904,"Ccl2","Ccl11"
"10090.ENSMUSP00000000369","10090.ENSMUSP00000000122",491,"Ngfr","Rem1"
"10090.ENSMUSP00000000369","10090.ENSMUSP00000000193",489,"Ccl2","Rem1"
"10090.ENSMUSP00000000369","10090.ENSMUSP00000000312",708,"Cdh1","Rem1"
"10090.ENSMUSP00000000369","10090.ENSMUSP00000000188",457,"Ccnd2","Rem1"
"10090.ENSMUSP00000000395","10090.ENSMUSP00000000312",467,"Cdh1","Tmprss2"
"10090.ENSMUSP00000000395","10090.ENSMUSP00000000193",494,"Ccl2","Tmprss2"
"10090.ENSMUSP00000000450","10090.ENSMUSP00000000193",731,"Ccl2","Pparg"
"10090.ENSMUSP00000000450","10090.ENSMUSP00000000080",404,"Klf6","Pparg"
"10090.ENSMUSP00000000450","10090.ENSMUSP00000000369",532,"Rem1","Pparg"
"10090.ENSMUSP00000000450","10090.ENSMUSP00000000312",487,"Cdh1","Pparg"
"10090.ENSMUSP00000000466","10090.ENSMUSP00000000450",752,"Pparg","Plin2"
"10090.ENSMUSP00000000505","10090.ENSMUSP00000000028",999,"Cdc45","Mcm7"
"10090.ENSMUSP00000000579","10090.ENSMUSP00000000122",482,"Ngfr","Sox9"
"10090.ENSMUSP00000000579","10090.ENSMUSP00000000312",770,"Cdh1","Sox9"
"10090.ENSMUSP00000000579","10090.ENSMUSP00000000450",615,"Pparg","Sox9"
"10090.ENSMUSP00000000590","10090.ENSMUSP00000000369",518,"Rem1","Rdx"
"10090.ENSMUSP00000000590","10090.ENSMUSP00000000312",502,"Cdh1","Rdx"
"10090.ENSMUSP00000000642","10090.ENSMUSP00000000450",528,"Pparg","Hk2"
"10090.ENSMUSP00000000642","10090.ENSMUSP00000000369",469,"Rem1","Hk2"
"10090.ENSMUSP00000000724","10090.ENSMUSP00000000080",475,"Klf6","Kat2b"
"10090.ENSMUSP00000000834","10090.ENSMUSP00000000299",425,"Itgb2","Fasl"
"10090.ENSMUSP00000000834","10090.ENSMUSP00000000193",745,"Ccl2","Fasl"
