"STRING_id","degree","preferred_name","DEG","betweenness","closeness","degree_norm","betweenness_norm","closeness_norm","hub_score"
"10090.ENSMUSP00000001780",25,"Akt1","First_shell",0.268120290873914,0.6,1,1,0.6,0.866666666666667
"10090.ENSMUSP00000156559",16,"Cdkn1a","DEG",0.170323675251211,0.494117647058824,0.64,0.635250971480214,0.494117647058824,0.589789539513012
"10090.ENSMUSP00000000450",18,"Pparg","First_shell",0.113569004800889,0.51219512195122,0.72,0.423574823191191,0.51219512195122,0.55192331504747
"10090.ENSMUSP00000000193",16,"Ccl2","First_shell",0.110611141408243,0.494117647058824,0.64,0.41254297109598,0.494117647058824,0.515553539384935
"10090.ENSMUSP00000000312",16,"Cdh1","First_shell",0.0964289762840487,0.531645569620253,0.64,0.359648186154607,0.531645569620253,0.510431251924953
"10090.ENSMUSP00000103015",7,"Anpep","DEG",0.21109500805153,0.446808510638298,0.28,0.787314557072441,0.446808510638298,0.504707689236913
"10090.ENSMUSP00000001824",2,"Folh1","First_shell",0.178743961352657,0.336,0.08,0.66665585349791,0.336,0.360885284499303
"10090.ENSMUSP00000001720",1,"Tat","First_shell",0,1,0.04,0,1,0.346666666666667
"10090.ENSMUSP00000001027",1,"Aox1","First_shell",0,1,0.04,0,1,0.346666666666667
"10090.ENSMUSP00000034215",1,"Mt1","DEG",0,1,0.04,0,1,0.346666666666667
"10090.ENSMUSP00000035804",1,"Marc1","DEG",0,1,0.04,0,1,0.346666666666667
"10090.ENSMUSP00000001713",4,"Gstt1","First_shell",0.150724637681159,0.265822784810127,0.16,0.56215304403067,0.265822784810127,0.329325276280265
"10090.ENSMUSP00000000369",11,"Rem1","First_shell",0.0204766435925856,0.461538461538462,0.44,0.0763711076317418,0.461538461538462,0.325969856390068
"10090.ENSMUSP00000000579",8,"Sox9","First_shell",0.0331780538302277,0.442105263157895,0.32,0.123743166629004,0.442105263157895,0.295282809928966
"10090.ENSMUSP00000001547",7,"Col1a1","First_shell",0.0203312629399586,0.446808510638298,0.28,0.0758288858843568,0.446808510638298,0.267545798840885
"10090.ENSMUSP00000002320",7,"Ppard","First_shell",0.0122676035719514,0.428571428571429,0.28,0.0457541036225429,0.428571428571429,0.251441844064657
"10090.ENSMUSP00000001326",6,"Sp1","First_shell",0.0166530141892461,0.43298969072165,0.24,0.0621102346822281,0.43298969072165,0.245033308467959
"10090.ENSMUSP00000000834",7,"Fasl","First_shell",0.0035426731078905,0.428571428571429,0.28,0.0132129988981568,0.428571428571429,0.240594809156528
"10090.ENSMUSP00000082971",5,"Ncoa1","DEG",0.041304347826087,0.358974358974359,0.2,0.154051555335328,0.358974358974359,0.237675304769896
"10090.ENSMUSP00000001963",5,"Ace","First_shell",0.0110297700152773,0.442105263157895,0.2,0.041137393888865,0.442105263157895,0.22774755234892
"10090.ENSMUSP00000001592",6,"Jup","First_shell",0.00299056820795951,0.42,0.24,0.0111538302387038,0.42,0.223717943412901
"10090.ENSMUSP00000002360",6,"Angptl4","First_shell",0.00144927536231884,0.42,0.24,0.00540531773106413,0.42,0.221801772577021
"10090.ENSMUSP00000000122",5,"Ngfr","First_shell",0.0101863354037267,0.424242424242424,0.2,0.0379916617669079,0.424242424242424,0.220744695336444
"10090.ENSMUSP00000019721",6,"Pdk4","DEG",0.000966183574879227,0.411764705882353,0.24,0.00360354515404275,0.411764705882353,0.218456083678799
"10090.ENSMUSP00000000299",5,"Itgb2","First_shell",0.00683265205004335,0.428571428571429,0.2,0.0254835321406408,0.428571428571429,0.218018320237356
"10090.ENSMUSP00000000395",5,"Tmprss2","First_shell",0.00477146042363434,0.428571428571429,0.2,0.0177959691453496,0.428571428571429,0.215455799238926
"10090.ENSMUSP00000138326",6,"Ank3","DEG",0.00115942028985507,0.39622641509434,0.24,0.00432425418485131,0.39622641509434,0.21351688975973
