"category","term","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","preferredNames","p_value","fdr","description"
"RCTM","MMU-211945",4,103,10090,"10090.ENSMUSP00000003100,10090.ENSMUSP00000023083,10090.ENSMUSP00000035804,10090.ENSMUSP00000082971","Cyp2f2,Cyp2d22,Marc1,Ncoa1",2.47e-06,0.0042,"Phase I - Functionalization of compounds"
"Keyword","KW-0480",2,4,10090,"10090.ENSMUSP00000034214,10090.ENSMUSP00000034215","Mt2,Mt1",1.19e-05,0.0064,"Metal-thiolate cluster"
"RCTM","MMU-5661231",2,3,10090,"10090.ENSMUSP00000034214,10090.ENSMUSP00000034215","Mt2,Mt1",7.94e-06,0.0067,"Metallothioneins bind metals"
"RCTM","MMU-8951671",2,6,10090,"10090.ENSMUSP00000006311,10090.ENSMUSP00000060671","Tead4,Tead1",2.22e-05,0.0093,"RUNX3 regulates YAP1-mediated transcription"
"SMART","SM00426",2,4,10090,"10090.ENSMUSP00000006311,10090.ENSMUSP00000060671","Tead4,Tead1",1.19e-05,0.0096,"TEA domain"
"RCTM","MMU-2032785",2,8,10090,"10090.ENSMUSP00000006311,10090.ENSMUSP00000060671","Tead4,Tead1",3.56e-05,0.0111,"YAP1- and WWTR1 (TAZ)-stimulated gene expression"
"RCTM","MMU-211897",3,66,10090,"10090.ENSMUSP00000003100,10090.ENSMUSP00000023083,10090.ENSMUSP00000082971","Cyp2f2,Cyp2d22,Ncoa1",3.3e-05,0.0111,"Cytochrome P450 - arranged by substrate type"
"RCTM","MMU-211999",2,10,10090,"10090.ENSMUSP00000003100,10090.ENSMUSP00000023083","Cyp2f2,Cyp2d22",5.22e-05,0.0111,"CYP2E1 reactions"
"RCTM","MMU-8953897",5,451,10090,"10090.ENSMUSP00000030158,10090.ENSMUSP00000034214,10090.ENSMUSP00000034215,10090.ENSMUSP00000082971,10090.ENSMUSP00000156559","Dctn3,Mt2,Mt1,Ncoa1,Cdkn1a",4.62e-05,0.0111,"Cellular responses to stimuli"
"RCTM","MMU-211935",2,13,10090,"10090.ENSMUSP00000003100,10090.ENSMUSP00000023083","Cyp2f2,Cyp2d22",8.29e-05,0.0139,"Fatty acids"
"Pfam","PF00131",2,4,10090,"10090.ENSMUSP00000034214,10090.ENSMUSP00000034215","Mt2,Mt1",1.19e-05,0.0269,"Metallothionein"
"Process","GO:0006882",3,26,10090,"10090.ENSMUSP00000034214,10090.ENSMUSP00000034215,10090.ENSMUSP00000128245","Mt2,Mt1,Slc39a8",2.36e-06,0.0374,"Cellular zinc ion homeostasis"
"NetworkNeighborAL","CL:25361",3,41,10090,"10090.ENSMUSP00000034214,10090.ENSMUSP00000034215,10090.ENSMUSP00000128245","Mt2,Mt1,Slc39a8",8.47e-06,0.0416,"Zinc ion transport, and Copper transport"
"NetworkNeighborAL","CL:6509",2,5,10090,"10090.ENSMUSP00000006311,10090.ENSMUSP00000060671","Tead4,Tead1",1.67e-05,0.0416,"YAP1- and WWTR1 (TAZ)-stimulated gene expression"
"PMID","PMID:19236889",4,31,10090,"10090.ENSMUSP00000034214,10090.ENSMUSP00000034215,10090.ENSMUSP00000092732,10090.ENSMUSP00000128245","Mt2,Mt1,Ccl21a,Slc39a8",2.62e-08,0.0453,"(2009) Cadmium-induced testicular injury."
"Process","GO:0070887",11,2827,10090,"10090.ENSMUSP00000003100,10090.ENSMUSP00000019721,10090.ENSMUSP00000023083,10090.ENSMUSP00000034214,10090.ENSMUSP00000034215,10090.ENSMUSP00000035804,10090.ENSMUSP00000058251,10090.ENSMUSP00000060671,10090.ENSMUSP00000082971,10090.ENSMUSP00000092732,10090.ENSMUSP00000138326","Cyp2f2,Pdk4,Cyp2d22,Mt2,Mt1,Marc1,Rnf125,Tead1,Ncoa1,Ccl21a,Ank3",9.41e-06,0.0497,"Cellular response to chemical stimulus"
