"gene_id","gene_symbol","gene_biotype","baseMean","log2FoldChange","pvalue","padj","significance"
"ENSMUSG00000094686","Ccl21a","protein_coding",85.1818331496813,2.67106802839288,4.44811370409664e-12,5.36442512714054e-08,"Upregulated"
"ENSMUSG00000053897","Slc39a8","protein_coding",326.029994407979,-1.64271845932337,1.04258052307149e-10,6.28676055412108e-07,"Downregulated"
"ENSMUSG00000031765","Mt1","protein_coding",1141.68995554948,-2.10619206446431,5.90946754555601e-08,0.000237560595331351,"Downregulated"
"ENSMUSG00000006014","Prg4","protein_coding",100.44672811713,-1.61023507686236,1.18931788505882e-06,0.00241442387405307,"Downregulated"
"ENSMUSG00000055320","Tead1","protein_coding",654.22159320318,-1.71264023529127,1.34724232059056e-06,0.00241442387405307,"Downregulated"
"ENSMUSG00000135102","Gm61113","lncRNA",300.189223065165,-1.48162011194181,1.06048008901694e-06,0.00241442387405307,"Downregulated"
"ENSMUSG00000061740","Cyp2d22","protein_coding",347.689130546067,-1.11976256199774,1.40140689207061e-06,0.00241442387405307,"Downregulated"
"ENSMUSG00000140700","Gm75569","lncRNA",277.230539259784,-1.65481769095236,3.30817759363468e-06,0.00443295797547047,"Downregulated"
"ENSMUSG00000031762","Mt2","protein_coding",119.571327046674,-3.0663471157237,3.30339429772313e-06,0.00443295797547047,"Downregulated"
"ENSMUSG00000019577","Pdk4","protein_coding",1614.59143421045,-2.07836505303307,3.9362306705623e-06,0.00474709418869813,"Downregulated"
"ENSMUSG00000023067","Cdkn1a","protein_coding",351.456614383136,-1.530188548754,4.33475820058382e-06,0.00475247126354917,"Downregulated"
"ENSMUSG00000028447","Dctn3","protein_coding",213.068450234648,-1.09245176928342,1.72819034477923e-05,0.017012445924755,"Downregulated"
"ENSMUSG00000039062","Anpep","protein_coding",146.266379306478,1.01219084184606,1.83384574644955e-05,0.017012445924755,"Upregulated"
"ENSMUSG00000140545","Gm52502","lncRNA",130.813935635865,-1.6934286371988,4.43834536752081e-05,0.0309960629765511,"Downregulated"
"ENSMUSG00000026796","Niban2","protein_coding",523.3530827363,-1.15586216538851,4.79546216754602e-05,0.0309960629765511,"Downregulated"
"ENSMUSG00000052974","Cyp2f2","protein_coding",106.279305292882,1.28379952361811,4.88329350376842e-05,0.0309960629765511,"Upregulated"
"ENSMUSG00000111658","B930092H01Rik","lncRNA",17.7674959305131,-2.55596692519121,3.90362689757449e-05,0.0309960629765511,"Downregulated"
"ENSMUSG00000020647","Ncoa1","protein_coding",156.59352059761,-1.15420055646293,4.30432382934989e-05,0.0309960629765511,"Downregulated"
"ENSMUSG00000030353","Tead4","protein_coding",46.3696512278397,-1.77285058896081,6.6850736319211e-05,0.038391422857604,"Downregulated"
"ENSMUSG00000053641","Dennd4a","protein_coding",81.860169028225,-1.12491364124138,7.97757724852655e-05,0.0437316280078319,"Downregulated"
"ENSMUSG00000033107","Rnf125","protein_coding",817.404273792124,-1.69899994960327,8.5406037317425e-05,0.0447824700020933,"Downregulated"
"ENSMUSG00000026621","Mtarc1","protein_coding",140.383810667341,-1.87567618327152,9.53867065185106e-05,0.0452618268061743,"Downregulated"
"ENSMUSG00000069601","Ank3","protein_coding",31.2553004266069,2.91420620992522,9.09314414719489e-05,0.0452618268061743,"Upregulated"
"ENSMUSG00000042622","Maff","protein_coding",54.7146180510801,-1.27013756266742,9.98195674641834e-05,0.0452618268061743,"Downregulated"
